Sale Date,ISBN,Discount,ItemID,OrderID
10/1/2193,989-28-79-87459-9,0.15,107292-1-7909,107026-38289
10/1/2193,989-28-3705-007-2,,107292-93-5449,107292-38281
10/1/2193,989-28-3705-987-7,,107292-4-6044,107292-38282
10/1/2193,989-28-3705-987-7,,107292-92-6979,107292-38283
10/1/2193,989-28-3705-007-2,,107292-77-9991,107292-38284
10/1/2193,989-28-3705-987-7,,107292-50-8989,107292-38285
10/1/2193,989-28-3705-592-3,,107292-88-629,107292-38286
10/1/2193,989-28-3705-007-2,,107292-95-2941,107292-38287
10/1/2193,989-28-3705-987-7,,107292-4-8687,107292-38288
10/1/2193,989-28-79-45675-7,,107292-64-5433,107292-38290
10/1/2193,989-28-79-52883-6,,107292-30-5543,107292-38291
10/1/2193,989-28-79-69807-2,,107292-87-8431,107292-38292
10/1/2193,989-28-79-69807-2,,107292-87-8430,107292-38293
10/1/2193,989-28-79-05670-4,,107292-18-2929,107292-38294
10/1/2193,989-28-79-05670-4,,107292-6-4778,107292-38295
10/1/2193,989-28-654-0047-4,,107292-86-5806,107292-38296
10/1/2193,989-28-229-3157-7,0.1,107292-69-1833,107292-38297
10/1/2193,989-28-229-7592-2,,107292-69-6488,107292-38298
10/1/2193,989-28-229-1404-4,,107292-13-5591,107292-38299
10/1/2193,989-28-229-7592-2,,107292-94-1612,107292-38300
10/1/2193,989-28-229-9769-6,,107292-76-5445,107292-38301
10/1/2193,989-28-229-0197-6,,107292-12-3420,107292-38302
10/1/2193,989-28-229-9769-6,,107292-11-7003,107292-38303
10/1/2193,989-28-229-9769-6,,107292-54-6436,107292-38304
10/1/2193,989-28-229-1404-4,,107292-28-6193,107292-38305
10/1/2193,989-28-229-6632-6,,107292-12-6152,107292-38306
10/1/2193,989-28-229-9769-6,,107292-49-9664,107292-38307
10/1/2193,989-28-229-3157-7,0.1,107292-39-2439,107292-38308
10/1/2193,989-28-229-6632-6,,107292-73-1660,107292-38309
10/1/2193,989-28-229-1404-4,,107292-84-5665,107292-38310
