BookID,Rating,ReviewerID,
AD222,5,105,
AD222,3,113,
AD222,3,234,
AD222,4,459,
AD222,2,550,
AD222,4,613,
AD222,3,870,
AD222,4,1014,
AD222,2,1245,
AD222,4,1307,
AD222,3,1546,
AD222,4,1598,
AD222,4,1629,
AD222,3,1932,
AD222,3,2250,
AD222,3,2316,
AD222,5,2366,
AD222,4,2385,
AD222,5,2459,
AD222,3,2559,
AD222,5,2686,
AD222,3,2796,
AD222,2,2929,
AD222,5,2944,
AD222,3,3022,
AD222,5,3024,
AD222,4,3051,
AD222,4,3290,
AD222,3,3356,
AD222,3,3443,
AD222,2,3453,
AD222,4,3491,
AD222,3,3521,
AD222,4,3565,
AD222,5,3649,
AD222,5,3673,
AD222,4,3948,
AD222,3,4017,
AD222,3,4378,
AD222,3,4434,
AD222,4,4577,
AD222,4,4632,
AD222,3,4669,
AD222,5,4791,
AD222,4,5057,
AD222,5,5216,
AD222,2,5218,
AD222,3,5337,
AD222,4,5374,
AD222,4,5498,
AD222,3,5513,
AD222,3,5605,
AD222,3,5697,
AD222,5,5701,
AD222,4,5778,
AD222,3,5829,
AD222,3,5855,
AD222,5,5884,
AD222,4,5967,
AD222,3,6079,
AD222,3,6091,
AD222,4,6211,
AD222,5,6287,
AD222,4,6307,
AD222,3,6309,
AD222,4,6418,
AD222,4,6550,
AD222,3,6574,
AD222,4,6596,
AD222,3,6631,
AD222,3,6636,
AD222,2,6747,
AD222,5,6765,
AD222,5,6816,
AD222,4,6876,
AD222,5,7028,
AD222,4,7035,
AD222,5,7099,
AD222,5,7130,
AD222,4,7331,
AD222,3,7347,
AD222,5,7389,
AD222,5,7400,
AD222,3,7524,
AD222,5,7649,
AD222,4,7677,
AD222,4,7697,
AD222,3,7757,
AD222,4,7778,
AD222,4,7784,
AD222,4,7794,
AD222,5,7800,
AD222,4,7816,
AD222,5,7913,
AD222,3,8038,
AD222,3,8046,
AD222,4,8068,
AD222,4,8226,
AD222,4,8229,
AD222,4,8346,
AD222,5,8435,
AD222,4,8462,
AD222,5,8522,
AD222,3,8562,
AD222,4,8583,
AD222,5,8713,
AD222,2,8734,
AD222,5,8775,
AD222,3,8849,
AD222,5,8872,
AD222,5,8977,
AD222,3,9184,
AD222,3,9220,
AD222,3,9377,
AD222,4,9394,
AD222,5,9440,
AD222,5,9445,
AD222,3,9549,
AD222,4,9643,
AD222,4,9645,
AD222,4,9658,
AD222,5,9662,
AD222,5,9683,
AD222,5,9816,
AD222,1,9846,
AD222,4,9889,
AD222,4,10032,
AD222,4,10467,
AD222,4,10587,
AD222,3,10663,
AD222,5,10682,
AD222,2,10719,
AD222,5,10772,
AD222,4,10841,
AD222,3,10883,
AD222,3,10933,
AD222,3,10987,
AD222,4,11037,
AD222,4,11052,
AD222,4,11056,
AD222,5,11057,
AD222,4,11131,
AD222,3,11148,
AD222,5,11226,
AD222,4,11380,
AD222,2,11535,
AD222,2,11581,
AD222,4,11589,
AD222,4,11595,
AD222,3,11623,
AD222,3,11693,
AD222,5,11743,
AD222,5,11768,
AD222,3,11772,
AD222,3,11837,
AD222,4,11858,
AD222,5,12123,
AD222,4,12136,
AD222,3,12160,
AD222,4,12286,
AD222,5,12310,
AD222,4,12324,
AD222,4,12331,
AD222,4,12364,
AD222,4,12422,
AD222,4,12452,
AD222,3,12485,
AD222,4,12520,
AD222,3,12565,
AD222,4,12680,
AD222,3,12694,
AD222,3,12718,
AD222,4,12769,
AD222,4,12787,
AD222,5,12858,
AD222,5,12896,
AD222,5,12916,
AD222,5,12930,
AD222,4,12967,
AD222,5,13033,
AD222,3,13123,
AD222,5,13126,
AD222,4,13133,
AD222,5,13155,
AD222,3,13209,
AD222,4,13230,
AD222,3,13269,
AD222,5,13271,
AD222,5,13285,
AD222,5,13312,
AD222,4,13320,
AD222,5,13338,
AD222,4,13340,
AD222,5,13358,
AD222,4,13371,
AD222,1,13390,
AD222,4,13453,
AD222,5,13483,
AD222,4,13507,
AD222,5,13632,
AD222,4,13640,
AD222,4,13655,
AD222,5,13712,
AD222,4,13751,
AD222,3,13912,
AD222,5,13924,
AD222,4,13941,
AD222,4,13966,
AD222,5,14037,
AD222,3,14056,
AD222,5,14082,
AD222,4,14149,
AD222,4,14182,
AD222,5,14198,
AD222,2,14295,
AD222,4,14320,
AD222,2,14442,
AD222,2,14491,
AD222,4,14492,
AD222,4,14507,
AD222,4,14519,
AD222,3,14586,
AD222,4,14744,
AD222,5,14769,
AD222,4,14883,
AD222,2,14979,
AD222,3,15098,
AD222,3,15211,
AD222,5,15355,
AD222,5,15410,
AD222,4,15427,
AD222,5,15431,
AD222,4,15434,
AD222,4,15441,
AD222,5,15499,
AD222,1,15509,
AD222,5,15516,
AD222,3,15534,
AD222,3,15584,
AD222,3,15598,
AD222,5,15690,
AD222,4,15695,
AD222,4,15724,
AD222,3,15735,
AD222,4,15755,
AD222,3,15791,
AD222,4,15807,
AD222,5,15842,
AD222,5,15846,
AD222,5,15863,
AD222,4,15942,
AD222,5,16039,
AD222,4,16068,
AD222,3,16110,
AD222,2,16247,
AD222,5,16275,
AD222,5,16421,
AD222,5,16505,
AD222,4,16526,
AD222,5,16698,
AD222,5,16703,
AD222,5,16851,
AD222,4,16898,
AD222,2,16910,
AD222,3,16941,
AD222,4,16982,
AD222,2,17043,
AD222,5,17068,
AD222,4,17079,
AD222,4,17094,
AD222,5,17130,
AD222,4,17133,
AD222,4,17203,
AD222,4,17215,
AD222,3,17252,
AD222,5,17254,
AD222,4,17281,
AD222,5,17382,
AD222,2,17408,
AD222,4,17412,
AD222,4,17448,
AD222,3,17462,
AD222,4,17509,
AD222,3,17547,
AD222,5,17554,
AD222,5,17583,
AD222,5,17618,
AD222,4,17621,
AD222,5,17646,
AD222,5,17666,
AD222,5,17703,
AD222,3,17897,
AD222,4,17914,
AD222,3,17995,
AD222,3,18024,
AD222,4,18131,
AD222,3,18168,
AD222,4,18190,
AD222,4,18228,
AD222,5,18248,
AD222,3,18252,
AD222,3,18335,
AD222,4,18461,
AD222,3,18483,
AD222,5,18495,
AD222,5,18575,
AD222,3,18602,
AD222,3,18724,
AD222,5,18729,
AD222,4,18744,
AD222,4,18755,
AD222,5,18849,
AD222,5,18882,
AD222,5,18944,
AD222,3,19049,
AD222,4,19085,
AD222,5,19152,
AD222,5,19235,
AD222,3,19236,
AD222,3,19250,
AD222,4,19299,
AD222,4,19309,
AD222,3,19342,
AD222,3,19379,
AD222,4,19418,
AD222,4,19461,
AD222,5,19530,
AD222,4,19533,
AD222,5,19610,
AD222,5,19685,
AD222,5,19754,
AD222,3,19837,
AD222,5,19856,
AD222,4,19915,
AD222,3,19950,
AD222,3,20028,
AD222,5,20050,
AD222,1,20063,
AD222,3,20096,
AD222,4,20219,
AD222,2,20239,
AD222,5,20273,
AD222,4,20308,
AD222,4,20312,
AD222,5,20449,
AD222,5,20625,
AD222,4,20701,
AD222,3,20704,
AD222,4,20723,
AD222,3,20774,
AD222,5,20796,
AD222,4,20819,
AD222,5,20859,
AD222,5,20889,
AD222,3,20974,
AD222,2,20977,
AD222,3,20982,
AD222,5,20992,
