Sale Date,ISBN,Discount,ItemID,OrderID
4/1/2193,989-28-79-69807-2,0.15,107109-1-3249,107085-6872
4/1/2193,989-28-79-69807-2,0.15,107109-1-3248,107085-6943
4/1/2193,989-28-3705-007-2,,107109-17-3177,107109-6844
4/1/2193,989-28-3705-054-6,,107109-44-5486,107109-6845
4/1/2193,989-28-3705-007-2,,107109-50-8483,107109-6846
4/1/2193,989-28-3705-592-3,,107109-93-5180,107109-6847
4/1/2193,989-28-3705-966-2,,107109-53-8363,107109-6848
4/1/2193,989-28-3705-007-2,,107109-36-5568,107109-6849
4/1/2193,989-28-3705-007-2,,107109-64-7513,107109-6850
4/1/2193,989-28-3705-054-6,,107109-71-1680,107109-6851
4/1/2193,989-28-3705-987-7,,107109-72-1657,107109-6852
4/1/2193,989-28-3705-583-1,,107109-35-1076,107109-6853
4/1/2193,989-28-3705-649-4,,107109-87-732,107109-6854
4/1/2193,989-28-3705-136-9,,107109-58-924,107109-6855
4/1/2193,989-28-3705-007-2,,107109-9-7520,107109-6856
4/1/2193,989-28-3705-007-2,,107109-19-3818,107109-6857
4/1/2193,989-28-3705-007-2,,107109-27-6283,107109-6858
4/1/2193,989-28-3705-007-2,,107109-40-461,107109-6859
4/1/2193,989-28-3705-007-2,,107109-23-5620,107109-6860
4/1/2193,989-28-3705-007-2,,107109-7-8688,107109-6861
4/1/2193,989-28-79-45675-7,,107109-30-475,107109-6862
4/1/2193,989-28-79-45675-7,,107109-91-6724,107109-6863
4/1/2193,989-28-79-30536-9,,107109-26-5221,107109-6864
4/1/2193,989-28-79-82197-5,,107109-75-2945,107109-6865
4/1/2193,989-28-79-64693-6,,107109-26-5941,107109-6866
4/1/2193,989-28-79-04510-4,,107109-74-6234,107109-6867
4/1/2193,989-28-79-04510-4,,107109-80-1262,107109-6868
4/1/2193,989-28-79-45675-7,,107109-54-77,107109-6869
4/1/2193,989-28-79-82749-6,,107109-65-9268,107109-6870
4/1/2193,989-28-79-69807-2,,107109-3-8478,107109-6871
4/1/2193,989-28-79-22562-9,,107109-58-4192,107109-6873
4/1/2193,989-28-79-82125-8,,107109-16-6584,107109-6874
4/1/2193,989-28-79-69807-2,,107109-59-4093,107109-6875
4/1/2193,989-28-79-82125-8,,107109-11-5294,107109-6876
4/1/2193,989-28-79-69807-2,,107109-59-4092,107109-6877
4/1/2193,989-28-79-69807-2,,107109-57-421,107109-6878
4/1/2193,989-28-79-69807-2,,107109-29-6527,107109-6879
4/1/2193,989-28-79-69807-2,,107109-57-420,107109-6880
4/1/2193,989-28-79-69807-2,,107109-88-9084,107109-6881
